2020-11-27 03:23:05 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 11:22:35 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 12:04:18 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 12:48:39 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 12:48:55 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 02:01:20 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 02:02:45 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 02:16:05 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 03:11:24 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 03:14:50 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 03:26:50 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 03:28:37 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 03:29:13 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 03:46:00 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 04:58:51 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 05:54:35 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 05:56:30 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 05:59:55 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 06:46:07 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 08:37:07 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 08:37:15 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 08:37:25 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 08:38:17 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 08:51:49 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 08:52:00 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 09:15:28 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 09:16:27 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 10:24:38 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 11:14:25 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
